timestamp,type,detail
0.000000,JanetMLIDS,[JanetMLIDS] Whitelist violation: unknown CAN ID=0x0
0.000000,JanetMLIDS,[JanetMLIDS] Whitelist violation: unknown CAN ID=0x0
0.000000,JanetMLIDS,[JanetMLIDS] Whitelist violation: unknown CAN ID=0x0
0.000000,JanetMLIDS,[JanetMLIDS] Whitelist violation: unknown CAN ID=0x0
0.000000,JanetMLIDS,[JanetMLIDS] Whitelist violation: unknown CAN ID=0x0
0.000000,JanetMLIDS,[JanetMLIDS] Whitelist violation: unknown CAN ID=0x0
0.000000,JanetMLIDS,[JanetMLIDS] Whitelist violation: unknown CAN ID=0x0
0.000000,JanetMLIDS,[JanetMLIDS] Whitelist violation: unknown CAN ID=0x0
0.000000,JanetMLIDS,[JanetMLIDS] Whitelist violation: unknown CAN ID=0x0
0.000000,JanetMLIDS,[JanetMLIDS] Whitelist violation: unknown CAN ID=0x0
0.000000,JanetMLIDS,[JanetMLIDS] Whitelist violation: unknown CAN ID=0x0
0.000000,JanetMLIDS,[JanetMLIDS] Whitelist violation: unknown CAN ID=0x0
0.000000,JanetMLIDS,[JanetMLIDS] Whitelist violation: unknown CAN ID=0x0
0.000000,JanetMLIDS,[JanetMLIDS] Whitelist violation: unknown CAN ID=0x0
0.000000,JanetMLIDS,[JanetMLIDS] Whitelist violation: unknown CAN ID=0x0
0.000000,JanetMLIDS,[JanetMLIDS] Whitelist violation: unknown CAN ID=0x0
0.000000,JanetMLIDS,[JanetMLIDS] Whitelist violation: unknown CAN ID=0x0
0.000000,JanetMLIDS,[JanetMLIDS] Whitelist violation: unknown CAN ID=0x0
0.000000,JanetMLIDS,[JanetMLIDS] Whitelist violation: unknown CAN ID=0x0
0.000000,JanetMLIDS,[JanetMLIDS] Whitelist violation: unknown CAN ID=0x0
0.000000,KL,[KL] distribution change detected: KL=19.932 > 2.0
0.000000,JanetMLIDS,[JanetMLIDS] Whitelist violation: unknown CAN ID=0x0
0.000000,KL,[KL] distribution change detected: KL=19.932 > 2.0
0.000000,JanetMLIDS,[JanetMLIDS] Whitelist violation: unknown CAN ID=0x0
0.000000,ENTROPY_SLIDING,[ENTROPY-SLIDING] H=0.00 outside 2.76±4σ
